,Feature,Classifier,ROC AUC,Accuracy,Correlation,Norm Confusion Matrix,Retrieval Calls,In-Accuracy_init_mean,In-Accuracy_bootstrap_mean,In-Accuracy_CI_lower,In-Accuracy_CI_higher,In-Accuracy_std,Mean Tokens_init_mean,Mean Tokens_bootstrap_mean,Mean Tokens_CI_lower,Mean Tokens_CI_higher,Mean Tokens_std,EM_init_mean,EM_bootstrap_mean,EM_CI_lower,EM_CI_higher,EM_std,F1_init_mean,F1_bootstrap_mean,F1_CI_lower,F1_CI_higher,F1_std,Dataset,LLM Call,is_baseline,UC_rate,overconfidence,conservativeness
520,Eccentricity,Threshold,0.635,0.824,0.179,"[[0.0, 0.176], [0.0, 0.824]]",1.0,0.312,0.312,0.274,0.35,0.02,2197.026,2196.924,2185.262,2209.051,6.267,0.252,0.252,0.216,0.292,0.02,0.389,0.389,0.35,0.426,0.019,squad,2.0,0,1.0,0.0,0.176
521,Lex-Similarity,Logistic Regression,0.664,0.824,0.216,"[[0.0, 0.176], [0.0, 0.824]]",1.0,0.312,0.312,0.274,0.35,0.02,2197.026,2196.924,2185.262,2209.051,6.267,0.252,0.252,0.216,0.292,0.02,0.389,0.389,0.35,0.426,0.019,squad,2.0,0,1.0,0.0,0.176
522,Lex-Similarity,KNN,0.674,0.836,0.216,"[[0.026, 0.15], [0.014, 0.81]]",0.96,0.318,0.318,0.278,0.358,0.02,2110.586,2110.788,2072.721,2147.783,20.046,0.256,0.256,0.22,0.296,0.02,0.394,0.394,0.355,0.432,0.019,squad,1.96,0,0.96,0.014,0.15
523,Lex-Similarity,MLP,0.664,0.826,0.216,"[[0.008, 0.168], [0.006, 0.818]]",0.99,0.314,0.314,0.274,0.352,0.02,2166.164,2166.571,2139.731,2190.416,12.851,0.254,0.254,0.216,0.294,0.02,0.391,0.391,0.353,0.43,0.019,squad,1.99,0,0.986,0.006,0.168
524,Lex-Similarity,Decision Tree,0.657,0.83,0.216,"[[0.006, 0.17], [0.0, 0.824]]",0.99,0.312,0.312,0.274,0.35,0.02,2183.66,2183.567,2164.057,2202.388,9.806,0.252,0.252,0.216,0.292,0.02,0.389,0.389,0.35,0.426,0.019,squad,1.99,0,0.994,0.0,0.17
525,Lex-Similarity,Threshold,0.664,0.836,0.216,"[[0.024, 0.152], [0.012, 0.812]]",0.96,0.318,0.318,0.278,0.358,0.02,2119.216,2119.515,2081.459,2155.977,19.203,0.256,0.256,0.22,0.296,0.02,0.394,0.394,0.355,0.432,0.019,squad,1.96,0,0.964,0.012,0.152
526,MD,Logistic Regression,0.484,0.824,-0.021,"[[0.0, 0.176], [0.0, 0.824]]",1.0,0.312,0.312,0.274,0.35,0.02,2197.026,2196.924,2185.262,2209.051,6.267,0.252,0.252,0.216,0.292,0.02,0.389,0.389,0.35,0.426,0.019,squad,2.0,0,1.0,0.0,0.176
527,MD,KNN,0.592,0.822,-0.021,"[[0.006, 0.17], [0.008, 0.816]]",0.99,0.31,0.31,0.272,0.348,0.02,2165.658,2164.745,2136.885,2189.602,13.175,0.25,0.25,0.212,0.29,0.02,0.385,0.385,0.346,0.423,0.019,squad,1.99,0,0.986,0.008,0.17
528,MD,MLP,0.484,0.824,-0.021,"[[0.0, 0.176], [0.0, 0.824]]",1.0,0.312,0.312,0.274,0.35,0.02,2197.026,2196.924,2185.262,2209.051,6.267,0.252,0.252,0.216,0.292,0.02,0.389,0.389,0.35,0.426,0.019,squad,2.0,0,1.0,0.0,0.176
529,MD,Decision Tree,0.606,0.814,-0.021,"[[0.004, 0.172], [0.014, 0.81]]",0.98,0.312,0.312,0.274,0.35,0.02,2158.458,2158.489,2130.222,2184.453,14.316,0.252,0.252,0.214,0.29,0.02,0.387,0.387,0.349,0.425,0.019,squad,1.98,0,0.982,0.014,0.172
