,Feature,Classifier,ROC AUC,Accuracy,Correlation,Norm Confusion Matrix,Retrieval Calls,In-Accuracy_init_mean,In-Accuracy_bootstrap_mean,In-Accuracy_CI_lower,In-Accuracy_CI_higher,In-Accuracy_std,Mean Tokens_init_mean,Mean Tokens_bootstrap_mean,Mean Tokens_CI_lower,Mean Tokens_CI_higher,Mean Tokens_std,EM_init_mean,EM_bootstrap_mean,EM_CI_lower,EM_CI_higher,EM_std,F1_init_mean,F1_bootstrap_mean,F1_CI_lower,F1_CI_higher,F1_std,Dataset,LLM Call,is_baseline,UC_rate,overconfidence,conservativeness
0,Perplexity,Logistic Regression,0.643,0.894,0.153,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
1,Perplexity,KNN,0.6,0.894,0.153,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
2,Perplexity,MLP,0.643,0.894,0.153,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
3,Perplexity,Decision Tree,0.626,0.878,0.153,"[[0.006, 0.1], [0.022, 0.872]]",0.97,0.098,0.098,0.074,0.122,0.013,1797.332,1797.126,1752.51,1840.817,22.216,0.086,0.086,0.062,0.11,0.012,0.168,0.168,0.141,0.195,0.014,musique,1.97,0,0.972,0.022,0.1
4,Perplexity,Threshold,0.643,0.894,0.153,"[[0.002, 0.104], [0.002, 0.892]]",1.0,0.098,0.098,0.074,0.122,0.013,1840.988,1840.954,1803.38,1876.394,19.061,0.086,0.086,0.062,0.11,0.012,0.165,0.165,0.138,0.192,0.014,musique,2.0,0,0.996,0.002,0.104
5,Mean Entropy,Logistic Regression,0.637,0.894,0.147,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
6,Mean Entropy,KNN,0.627,0.894,0.147,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
7,Mean Entropy,MLP,0.637,0.894,0.147,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
8,Mean Entropy,Decision Tree,0.62,0.892,0.147,"[[0.002, 0.104], [0.004, 0.89]]",0.99,0.1,0.1,0.076,0.124,0.013,1837.658,1837.743,1798.194,1874.961,19.552,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,1.99,0,0.994,0.004,0.104
9,Mean Entropy,Threshold,0.637,0.896,0.147,"[[0.002, 0.104], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1845.87,1845.9,1808.371,1880.89,18.656,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,0.998,0.0,0.104
10,Max Entropy,Logistic Regression,0.669,0.894,0.18,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
11,Max Entropy,KNN,0.581,0.894,0.18,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
12,Max Entropy,MLP,0.669,0.894,0.18,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
13,Max Entropy,Decision Tree,0.586,0.87,0.18,"[[0.004, 0.102], [0.028, 0.866]]",0.97,0.1,0.1,0.076,0.126,0.013,1790.354,1790.088,1744.903,1831.486,22.569,0.088,0.088,0.066,0.112,0.012,0.166,0.167,0.139,0.193,0.014,musique,1.97,0,0.968,0.028,0.102
14,Max Entropy,Threshold,0.669,0.894,0.18,"[[0.002, 0.104], [0.002, 0.892]]",1.0,0.1,0.1,0.076,0.124,0.013,1841.834,1841.75,1804.743,1877.145,18.94,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,0.996,0.002,0.104
15,Median Entropy,Logistic Regression,0.531,0.894,0.033,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
16,Median Entropy,KNN,0.577,0.894,0.033,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
17,Median Entropy,MLP,0.531,0.894,0.033,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
18,Median Entropy,Decision Tree,0.527,0.89,0.033,"[[0.0, 0.106], [0.004, 0.89]]",1.0,0.1,0.1,0.076,0.124,0.013,1842.896,1843.041,1806.734,1878.737,18.592,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,0.996,0.004,0.106
19,Median Entropy,Threshold,0.531,0.894,0.033,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
20,Min Entropy,Logistic Regression,0.614,0.894,0.121,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
21,Min Entropy,KNN,0.547,0.894,0.121,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
22,Min Entropy,MLP,0.614,0.894,0.121,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
23,Min Entropy,Decision Tree,0.62,0.888,0.121,"[[0.004, 0.102], [0.01, 0.884]]",0.99,0.104,0.104,0.078,0.13,0.013,1825.946,1826.004,1785.205,1865.313,20.498,0.09,0.09,0.068,0.114,0.012,0.171,0.172,0.143,0.199,0.014,musique,1.99,0,0.986,0.01,0.102
24,Min Entropy,Threshold,0.614,0.894,0.121,"[[0.002, 0.104], [0.002, 0.892]]",1.0,0.102,0.102,0.078,0.128,0.013,1843.708,1843.762,1805.975,1880.27,19.048,0.088,0.088,0.066,0.112,0.012,0.169,0.169,0.141,0.196,0.014,musique,2.0,0,0.996,0.002,0.104
25,Mean Probability,Logistic Regression,0.62,0.894,0.128,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
26,Mean Probability,KNN,0.527,0.894,0.128,"[[0.002, 0.104], [0.002, 0.892]]",1.0,0.102,0.102,0.076,0.128,0.013,1844.596,1844.75,1808.125,1881.296,18.893,0.09,0.09,0.068,0.114,0.012,0.169,0.169,0.142,0.196,0.014,musique,2.0,0,0.996,0.002,0.104
27,Mean Probability,MLP,0.62,0.894,0.128,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
28,Mean Probability,Decision Tree,0.565,0.876,0.128,"[[0.008, 0.098], [0.026, 0.868]]",0.97,0.104,0.104,0.08,0.13,0.013,1790.962,1790.714,1745.606,1836.377,23.116,0.092,0.092,0.07,0.116,0.012,0.173,0.173,0.146,0.2,0.014,musique,1.97,0,0.966,0.026,0.098
29,Mean Probability,Threshold,0.62,0.894,0.128,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
30,Max Probability,Logistic Regression,0.645,0.894,0.154,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
31,Max Probability,KNN,0.577,0.894,0.154,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
32,Max Probability,MLP,0.645,0.894,0.154,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
33,Max Probability,Decision Tree,0.641,0.888,0.154,"[[0.0, 0.106], [0.006, 0.888]]",0.99,0.1,0.1,0.076,0.124,0.013,1838.502,1838.303,1798.982,1873.498,19.077,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.139,0.195,0.014,musique,1.99,0,0.994,0.006,0.106
34,Max Probability,Threshold,0.645,0.894,0.154,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
35,Median Probability,Logistic Regression,0.543,0.894,0.046,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
36,Median Probability,KNN,0.519,0.894,0.046,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
37,Median Probability,MLP,0.543,0.894,0.046,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
38,Median Probability,Decision Tree,0.514,0.894,0.046,"[[0.002, 0.104], [0.002, 0.892]]",1.0,0.102,0.102,0.076,0.126,0.013,1842.712,1842.797,1805.018,1878.009,18.872,0.09,0.09,0.068,0.114,0.012,0.169,0.169,0.142,0.197,0.014,musique,2.0,0,0.996,0.002,0.104
39,Median Probability,Threshold,0.543,0.894,0.046,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
40,Min Probability,Logistic Regression,0.615,0.894,0.123,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
41,Min Probability,KNN,0.571,0.894,0.123,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
42,Min Probability,MLP,0.385,0.894,0.123,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
43,Min Probability,Decision Tree,0.616,0.892,0.123,"[[0.002, 0.104], [0.004, 0.89]]",0.99,0.102,0.102,0.076,0.128,0.013,1838.588,1838.37,1798.896,1874.893,19.267,0.09,0.09,0.068,0.114,0.012,0.169,0.169,0.142,0.197,0.014,musique,1.99,0,0.994,0.004,0.104
44,Min Probability,Threshold,0.615,0.894,0.123,"[[0.002, 0.104], [0.002, 0.892]]",1.0,0.102,0.102,0.078,0.128,0.013,1843.708,1843.762,1805.975,1880.27,19.048,0.088,0.088,0.066,0.112,0.012,0.169,0.169,0.141,0.196,0.014,musique,2.0,0,0.996,0.002,0.104
45,PTrue,Logistic Regression,0.55,0.894,0.054,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
46,PTrue,KNN,0.529,0.894,0.054,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
47,PTrue,MLP,0.55,0.894,0.054,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
48,PTrue,Decision Tree,0.511,0.892,0.054,"[[0.002, 0.104], [0.004, 0.89]]",0.99,0.102,0.102,0.078,0.128,0.013,1836.58,1836.528,1797.896,1872.825,18.976,0.09,0.09,0.068,0.114,0.012,0.169,0.169,0.143,0.196,0.014,musique,1.99,0,0.994,0.004,0.104
49,PTrue,Threshold,0.55,0.894,0.054,"[[0.002, 0.104], [0.002, 0.892]]",1.0,0.102,0.102,0.076,0.128,0.013,1843.778,1843.625,1805.115,1878.749,18.838,0.09,0.09,0.068,0.112,0.012,0.169,0.169,0.142,0.197,0.014,musique,2.0,0,0.996,0.002,0.104
50,Mean PMI,Logistic Regression,0.555,0.894,0.059,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
51,Mean PMI,KNN,0.573,0.894,0.059,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
52,Mean PMI,MLP,0.445,0.894,0.059,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
53,Mean PMI,Decision Tree,0.512,0.89,0.059,"[[0.0, 0.106], [0.004, 0.89]]",1.0,0.1,0.1,0.076,0.124,0.013,1844.664,1844.299,1805.413,1880.979,19.105,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,0.996,0.004,0.106
54,Mean PMI,Threshold,0.555,0.894,0.059,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
55,Mean CPMI,Logistic Regression,0.462,0.894,0.04,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
56,Mean CPMI,KNN,0.532,0.894,0.04,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
57,Mean CPMI,MLP,0.462,0.894,0.04,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
58,Mean CPMI,Decision Tree,0.501,0.892,0.04,"[[0.002, 0.104], [0.004, 0.89]]",0.99,0.102,0.102,0.078,0.128,0.013,1838.044,1838.105,1800.365,1874.57,19.378,0.09,0.09,0.068,0.114,0.012,0.169,0.169,0.141,0.197,0.014,musique,1.99,0,0.994,0.004,0.104
59,Mean CPMI,Threshold,0.538,0.894,0.04,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
60,RenyiNeg,Logistic Regression,0.564,0.894,-0.068,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
61,RenyiNeg,KNN,0.442,0.894,-0.068,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
62,RenyiNeg,MLP,0.564,0.894,-0.068,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
63,RenyiNeg,Decision Tree,0.479,0.892,-0.068,"[[0.0, 0.106], [0.002, 0.892]]",1.0,0.1,0.1,0.076,0.124,0.013,1845.384,1845.195,1808.312,1878.358,18.435,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.194,0.014,musique,2.0,0,0.998,0.002,0.106
64,RenyiNeg,Threshold,0.436,0.894,-0.068,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
65,FisherRao,Logistic Regression,0.544,0.894,-0.047,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
66,FisherRao,KNN,0.454,0.894,-0.047,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
67,FisherRao,MLP,0.456,0.894,-0.047,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
68,FisherRao,Decision Tree,0.477,0.89,-0.047,"[[0.0, 0.106], [0.004, 0.89]]",1.0,0.1,0.1,0.076,0.124,0.013,1842.64,1842.693,1804.648,1878.958,18.991,0.088,0.088,0.066,0.112,0.012,0.169,0.169,0.141,0.197,0.014,musique,2.0,0,0.996,0.004,0.106
69,FisherRao,Threshold,0.456,0.894,-0.047,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
70,Semantic Entropy,Logistic Regression,0.604,0.894,0.111,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
71,Semantic Entropy,KNN,0.597,0.894,0.111,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
72,Semantic Entropy,MLP,0.58,0.894,0.111,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
73,Semantic Entropy,Decision Tree,0.564,0.87,0.111,"[[0.0, 0.106], [0.024, 0.87]]",0.98,0.1,0.1,0.076,0.124,0.013,1803.05,1802.566,1759.592,1843.153,21.738,0.088,0.088,0.066,0.112,0.012,0.166,0.166,0.139,0.193,0.014,musique,1.98,0,0.976,0.024,0.106
74,Semantic Entropy,Threshold,0.604,0.896,0.111,"[[0.002, 0.104], [0.0, 0.894]]",1.0,0.102,0.102,0.078,0.128,0.013,1846.506,1846.557,1808.807,1882.471,18.725,0.088,0.088,0.066,0.112,0.012,0.169,0.169,0.141,0.196,0.014,musique,2.0,0,0.998,0.0,0.104
75,CCP,Logistic Regression,0.66,0.894,0.171,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
76,CCP,KNN,0.555,0.892,0.171,"[[0.002, 0.104], [0.004, 0.89]]",0.99,0.1,0.1,0.076,0.124,0.013,1838.094,1838.294,1801.396,1875.022,19.129,0.088,0.088,0.066,0.112,0.012,0.166,0.167,0.139,0.194,0.014,musique,1.99,0,0.994,0.004,0.104
77,CCP,MLP,0.661,0.894,0.171,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
78,CCP,Decision Tree,0.608,0.884,0.171,"[[0.0, 0.106], [0.01, 0.884]]",0.99,0.098,0.098,0.074,0.124,0.013,1830.352,1830.204,1791.934,1867.188,19.974,0.088,0.088,0.066,0.112,0.012,0.167,0.168,0.141,0.195,0.014,musique,1.99,0,0.99,0.01,0.106
79,CCP,Threshold,0.66,0.894,0.171,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
80,SAR,Logistic Regression,0.656,0.894,0.166,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
81,SAR,KNN,0.568,0.894,0.166,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
82,SAR,MLP,0.66,0.894,0.166,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
83,SAR,Decision Tree,0.634,0.892,0.166,"[[0.0, 0.106], [0.002, 0.892]]",1.0,0.1,0.1,0.076,0.124,0.013,1847.548,1847.458,1810.062,1882.766,18.441,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,0.998,0.002,0.106
84,SAR,Threshold,0.656,0.894,0.166,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
